Land;Brand;Status;Week;Old_mat;New_mat;Art_nr;Prod_grp;Description_SE;Descripiton_DK;GTIN_CU;GTIN_TU;GTIN_Pallet;Type_nr;SP_CU;Depth_CU;Width_CU;Height_CU;Weight_kg_CU;CU_TU;(CU_TU);Depth_TU;Width_TU;Height_TU;Weight_kg_TU;TU_Layer;TU_Pallet;Hi_inc_Pal;GW_PU_kg;NW_PU_kg;DVH_CU   ;DVH_TU;FH_CU;FH_TU
Nordic;Melitta;;;;6728137;20760;KAFFEBRYGGARE ;EXCELLENT GRANDE, VIT A.S.O;EXCELLENT GRANDE, HVID A.S.O;4,01E+12;4,01E+12;4,01E+12;M520 WH;1;173;309;335;2,6;1;4;363;635;355;11,9;12;36;1210;;;574;574;574;574
Nordic;Melitta;;;;6728151;20762;KAFFEBRYGGARE ;EXCELLENT 3.0, SVART A.S.O;EXCELLENT 3.0, SORT A.S.O;4,01E+12;4,01E+12;4,01E+12;M511 BK;1;173;309;318;2,5;1;4;363;635;340;11,5;12;36;1165;;;495;495;495;495
Nordic;Melitta;;;;6679279;20809;KAFFEMASKINER;CAFFEO BARISTA T, SILVER,  F730-101 (Chains, Hybrid, Expert);CAFFEO BARISTA T, SILVER,  F730-101 (Chains, Hybrid, Expert);4,01E+12;4,01E+12;4,01E+12;E73/0-101;1;571;387;419;13,451;1;;571;387;419;13,451;4;8;983;;;7557;7557;7557;7557
Nordic;Melitta;;;;6679293;20810;KAFFEMASKINER;CAFFEO BARISTA TS, SVART (BG, Bygg, Home);CAFFEO BARISTA TS, SORT (BG, Bygg, Home);4,01E+12;4,01E+12;4,01E+12;F75/0-102;1;571;387;419;13,792;1;;571;387;419;13,792;4;8;983;;;8870;8870;8870;8870
Nordic;Melitta;;;;6679316;20811;KAFFEMASKINER;CAFFEO BARISTA TS, SILVER  (BG, Bygg, Home);CAFFEO BARISTA TS, SILVER  (BG, Bygg, Home);4,01E+12;4,01E+12;4,01E+12;F75/0-101;1;571;387;419;13,792;1;;571;387;419;13,792;4;8;983;;;8870;8870;8870;8870
Nordic;Melitta;;;;6679378;20812;KAFFEMASKINER;CAFFEO SOLO & PERFECT MILK SVART;CAFFEO SOLO & PERFECT MILK SORT;4,01E+12;4,01E+12;4,01E+12;E957-101;1;380;300;545;9,858;1;;300;380;545;9,858;8;16;1050;;;3450;3450;3450;3450
Nordic;Melitta;;;;6680305;20813;KAFFEMASKINER;CAFFEO SOLO & PERFECT MILK SILVER/SVART;CAFFEO SOLO & PERFECT MILK SILVER/SORT;4,01E+12;4,01E+12;4,01E+12;E957-102;1;380;300;545;9,858;1;;300;380;545;9,858;8;16;1050;;;3450;3450;3450;3450
Nordic;Melitta;;;;6690205;20833;GLASKANNOR ;GLASKANNA EASY TOP, SVART/SST ;GLASKANDE EASY TOP, SORT/SST ;4,01E+12;4,01E+12;4,01E+12;;1;168;192;128;0,33;1;1;192;168;128;0,33;28;196;1041;;;120;120;120;120
Nordic;Melitta;;;;6690397;20835;TILLBEHÖR ;FILTERTRATT EXCELLENT/GRANDE. 1x4 VIT ;FILTERTRAGT EXCELLENT/GRANDE. 1x4 HVID ;4,01E+12;4,01E+12;4,01E+12;;1;138;150;116;0,095;1;;154;140;120;0,158;72;144;864;;;60;60;60;60
Nordic;Melitta;;;;6690403;20836;TILLBEHÖR ;FILTERTRATT EXCELLENT/GRANDE, 1x4 SVART;FILTERTRAGT EXCELLENT/GRANDE, 1x4 SORT;4,01E+12;4,01E+12;4,01E+12;;1;138;150;116;0,1;1;;154;140;120;0,2;72;144;864;;;60;60;60;60
Nordic;Melitta;;;;6692438;20845;GLASKANNOR ;GLASKANNA AROMA SIGNATURE/AROMA SIGNATURE DL;GLASKANDE AROMA SIGNATURE/AROMA SIGNATURE DL;4,01E+12;4,01E+12;4,01E+12;;1;180;180;160;0,336;1;3;180;180;160;0,336;24;120;1025;;;155;155;155;155
Nordic;Melitta;;;6692698;6765368;20853;TILLBEHÖR ;FILTERTRATT AROMA SIGNATURE (1x4);FILTERTRATT AROMA SIGNATURE (1x4);4,01E+12;4,01E+12;4,01E+12;;1;150;150;144;0,19;1;;150;150;144;0,19;;120;750;;;115;115;115;115
Nordic;Melitta;X;;;6703523;20919;KAFFEMASKINER;CAFFEO BARISTA T AROMA INTENCE , SST (FACELIFT);CAFFEO BARISTA T AROMA INTENCE , SST (FACELIFT);4,01E+12;4,01E+12;4,01E+12;;1;;;;;;;;;;;;;;;;;;;
Nordic;Melitta;;;;6709495;20952;KAFFEBRYGGARE ;AROMA BOY SVART A.S.O;AROMA BOY SORT A.S.O;4,01E+12;4,01E+12;4,01E+12;M25;1;146;190;208;1,04;1;12;395;456;440;13,57;24;96;1025;;;272;272;272;272
Nordic;Melitta;;;;6709471;20953;KAFFEBRYGGARE ;AROMA BOY VIT A.S.O;AROMA BOY HVID A.S.O;4,01E+12;4,01E+12;4,01E+12;M25;1;146;190;208;1,035;1;12;395;456;440;13,57;24;96;1025;;;272;272;272;272
Nordic;Melitta;;;;6709549;20954;KAFFEBRYGGARE ;AROMA ELEGANCE DE LUXE - ELGIGANTEN;AROMA ELEGANCE DE LUXE - ELGIGANTEN;4,01E+12;4,01E+12;4,01E+12;1012-03;1;255;375;360;3,47;1;3;390;780;385;12,3;9;18;915;;;992;992;992;992
Nordic;Melitta;;;;6707309;20955;KAFFEBRYGGARE ;AROMA ELEGANCE ;AROMA ELEGANCE ;4,01E+12;4,01E+12;4,01E+12;1012-01;1;255;375;360;3,474;1;3;390;780;385;12,3;9;18;920;;;864;864;864;864
Nordic;Melitta;;;;6707910;20971;TILLBEHÖR ;FILTERTRATT PORSLIN 1x4;FILTERTRATT PORCELÆN 1x4;4,01E+12;4,01E+12;4,01E+12;;1;143;147;123;0,534;1;1;143;147;123;0,534;40;360;1252;;;248;248;248;248
Nordic;Melitta;;;;6707958;20972;TILLBEHÖR ;FRANSK PRESS SST, 9 KOPPAR;FRANSK PRESS SST, 9 KOPPER;4,01E+12;4,01E+12;4,01E+12;;1;114;164;222;0,68;4;4;181;485;241;2,92;8;24;994;;;304;1216;304;1216
Nordic;Melitta;;;;6710750;20974;KAFFEBRYGGARE ;EASY THERM SVART  A.S.O;EASY THERM SORT  A.S.O;4,01E+12;4,01E+12;4,01E+12;1010-06;1;188;285;360;2,13;1;4;393;585;380;8,52;16;32;905;;;288;288;288;288
Nordic;Melitta;;;;6710798;20975;KAFFEBRYGGARE ;EASY TOP THERM SVART  A.S.O;EASY TOP THERM SORT  A.S.O;4,01E+12;4,01E+12;4,01E+12;1010-04;1;188;285;360;2,18;1;4;393;585;380;8,72;16;32;905;;;336;336;336;336
Nordic;Melitta;;;;6710774;20977;KAFFEBRYGGARE ;EASY THERM VIT  A.S.O;EASY THERM HVID  A.S.O;4,01E+12;4,01E+12;4,01E+12;1010-05;1;188;285;360;2,13;1;4;393;585;380;8,52;16;32;905;;;288;288;288;288
Nordic;Melitta;;;;6708016;20978;GLASKANNOR ;GLASKANNA AROMA BOY SVART;GLASKANDE AROMA BOY SORT;4,01E+12;4,01E+12;4,01E+12;;1;111;115;90;0,18;1;12;385;485;205;4,67;96;384;965;;;61,5;61,5;61,5;61,5
Nordic;Melitta;X;w 46 15;;6710552;20979;KAFFEBRYGGARE ;LOOK 4.0 DE LUXE VIT  A.S.O;LOOK IV DE LUXE HVID  A.S.O;4,01E+12;4,01E+12;4,01E+12;1011-05;1;240;270;360;2,282;1;3;295;750;390;7,75;12;24;925;;;464;464;464;464
Nordic;Melitta;;;;6710613;20980;KAFFEBRYGGARE ;LOOK 4.0 DE LUXE SVART  A.S.O ;LOOK IV DE LUXE SORT  A.S.O ;4,01E+12;4,01E+12;4,01E+12;1011-06;1;240;270;360;2,282;1;3;295;750;390;7,746;12;24;925;;;464;464;464;464
Nordic;Melitta;;;;6710637;20981;KAFFEBRYGGARE ;LOOK 4.0 TIMER SVART  A.S.O;LOOK IV TIMER SORT  A.S.O;4,01E+12;4,01E+12;4,01E+12;1011-08;1;240;270;360;2,299;1;3;295;750;390;7,797;12;24;925;;;544;544;544;544
Nordic;Melitta;;;;6710675;20983;KAFFEBRYGGARE ;LOOK 4.0 SVART  A.S.O;LOOK IV SORT  A.S.O;4,01E+12;4,01E+12;4,01E+12;1011-02;1;240;270;360;2,16;1;3;295;750;390;7,386;12;24;925;;;336;336;336;336
Nordic;Melitta;;;;6710699;20984;KAFFEBRYGGARE ;LOOK 4.0 VIT  A.S.O;LOOK IV HVID  A.S.O;4,01E+12;4,01E+12;4,01E+12;1011-01;1;240;270;360;2,162;1;3;295;750;390;7,386;12;24;925;;;336;336;336;336
Nordic;Melitta;;;;6710712;20985;KAFFEBRYGGARE ;LOOK 4.0 SELECTION VIT  A.S.O;LOOK IV SELECTION HVID  A.S.O;4,01E+12;4,01E+12;4,01E+12;1011-03;1;240;270;360;2,22;1;3;295;750;390;7,566;12;24;925;;;400;400;400;400
